Molecule: ./Results/serine/a5.txt 
Step1: ['add'], Previous ligand: c1ccccc1, Changed ligand: Oc1ccccc1, New ligand: Oc1ccccc1 Score: tensor([0.5001])
Step401: ['move_junction'], Previous ligand: CCC1C([SH3])=C(COC)c2c(CO)ccn2C1(C)OCNC, Changed ligand: CCc1cc(CO)c2n1C(C)(OCNC)CC([SH3])=C2COC, New ligand: CCC1C([SH3])=C(COC)c2c(CO)ccn2C1(C)OCNC Score: tensor([0.8565])
Step402: ['add'], Previous ligand: CCC1C([SH3])=C(COC)c2c(CO)ccn2C1(C)OCNC, Changed ligand: CCC1(C)C([SH3])=C(COC)c2c(CO)ccn2C1(C)OCNC, New ligand: CCC1C([SH3])=C(COC)c2c(CO)ccn2C1(C)OCNC Score: tensor([0.8565])
Step403: ['move_junction'], Previous ligand: CCC1C([SH3])=C(COC)c2c(CO)ccn2C1(C)OCNC, Changed ligand: CCC1C([SH3])=C(COC)c2c(CO)ccn2C1(C)OCNC, New ligand: CCC1C([SH3])=C(COC)c2c(CO)ccn2C1(C)OCNC Score: tensor([0.8567])
Step404: ['remove'], Previous ligand: CCC1C([SH3])=C(COC)c2c(CO)ccn2C1(C)OCNC, Changed ligand: CCC1C([SH3])=C(COC)c2c(O)ccn2C1(C)OCNC, New ligand: CCC1C([SH3])=C(COC)c2c(O)ccn2C1(C)OCNC Score: tensor([0.8134])
Step405: ['move_junction'], Previous ligand: CCC1C([SH3])=C(COC)c2c(O)ccn2C1(C)OCNC, Changed ligand: CCC1C([SH3])=C(COC)c2c(O)ccn2C1(C)OCNC, New ligand: CCC1C([SH3])=C(COC)c2c(O)ccn2C1(C)OCNC Score: tensor([0.8137])
Step406: ['add'], Previous ligand: CCC1C([SH3])=C(COC)c2c(O)ccn2C1(C)OCNC, Changed ligand: CCCC1(CC)C([SH3])=C(COC)c2c(O)ccn2C1(C)OCNC, New ligand: CCCC1(CC)C([SH3])=C(COC)c2c(O)ccn2C1(C)OCNC Score: tensor([0.7689])
Step407: ['turn ring aromatic'], Previous ligand: CCCC1(CC)C([SH3])=C(COC)c2c(O)ccn2C1(C)OCNC, Changed ligand: CCCC1(CC)C([SH3])=C(COC)C2C(O)CCN2C1(C)OCNC, New ligand: CCCC1(CC)C([SH3])=C(COC)c2c(O)ccn2C1(C)OCNC Score: tensor([0.7689])
Step408: ['remove'], Previous ligand: CCCC1(CC)C([SH3])=C(COC)c2c(O)ccn2C1(C)OCNC, Changed ligand: CCCC1(CC)C([SH3])=C(COC)c2c(O)ccn2C1(C)ONC, New ligand: CCCC1(CC)C([SH3])=C(COC)c2c(O)ccn2C1(C)OCNC Score: tensor([0.7689])
Step409: ['change type'], Previous ligand: CCCC1(CC)C([SH3])=C(COC)c2c(O)ccn2C1(C)OCNC, Changed ligand: CCCC1(CC)C([SH3])=C(CON)c2c(O)ccn2C1(C)OCNC, New ligand: CCCC1(CC)C([SH3])=C(COC)c2c(O)ccn2C1(C)OCNC Score: tensor([0.7689])
Step410: ['remove'], Previous ligand: CCCC1(CC)C([SH3])=C(COC)c2c(O)ccn2C1(C)OCNC, Changed ligand: CCC1(CC)C([SH3])=C(COC)c2c(O)ccn2C1(C)OCNC, New ligand: CCCC1(CC)C([SH3])=C(COC)c2c(O)ccn2C1(C)OCNC Score: tensor([0.7689])
Step411: ['remove'], Previous ligand: CCCC1(CC)C([SH3])=C(COC)c2c(O)ccn2C1(C)OCNC, Changed ligand: CCCC1(CC)C=C(COC)c2c(O)ccn2C1(C)OCNC, New ligand: CCCC1(CC)C=C(COC)c2c(O)ccn2C1(C)OCNC Score: tensor([0.7270])
Step412: ['add'], Previous ligand: CCCC1(CC)C=C(COC)c2c(O)ccn2C1(C)OCNC, Changed ligand: CCC=CC1(OCNC)n2ccc(O)c2C(COC)=CC1(CC)CCC, New ligand: CCCC1(CC)C=C(COC)c2c(O)ccn2C1(C)OCNC Score: tensor([0.7270])
Step413: ['move_junction'], Previous ligand: CCCC1(CC)C=C(COC)c2c(O)ccn2C1(C)OCNC, Changed ligand: CCC1(CC(C)OCNC)C=C(COC)c2c(O)ccn2C1C, New ligand: CCCC1(CC)C=C(COC)c2c(O)ccn2C1(C)OCNC Score: tensor([0.7270])
Step414: ['add'], Previous ligand: CCCC1(CC)C=C(COC)c2c(O)ccn2C1(C)OCNC, Changed ligand: CCCC1(CC)C=C(COC)c2c(O)ccn2C1(CP)OCNC, New ligand: CCCC1(CC)C=C(COC)c2c(O)ccn2C1(C)OCNC Score: tensor([0.7270])
Step415: ['remove'], Previous ligand: CCCC1(CC)C=C(COC)c2c(O)ccn2C1(C)OCNC, Changed ligand: CCCC1(CC)C=C(COC)c2c(O)ccn2C1(C)ONC, New ligand: CCCC1(CC)C=C(COC)c2c(O)ccn2C1(C)OCNC Score: tensor([0.7270])
Step416: ['turn ring aromatic'], Previous ligand: CCCC1(CC)C=C(COC)c2c(O)ccn2C1(C)OCNC, Changed ligand: CCCC1(CC)C=C(COC)C2C(O)CCN2C1(C)OCNC, New ligand: CCCC1(CC)C=C(COC)c2c(O)ccn2C1(C)OCNC Score: tensor([0.7270])
Step417: ['move_junction'], Previous ligand: CCCC1(CC)C=C(COC)c2c(O)ccn2C1(C)OCNC, Changed ligand: CCCC1(CC)C=C(COC)c2c(O)c(OCNC)cn2C1C, New ligand: CCCC1(CC)C=C(COC)c2c(O)ccn2C1(C)OCNC Score: tensor([0.7270])
Step418: ['add'], Previous ligand: CCCC1(CC)C=C(COC)c2c(O)ccn2C1(C)OCNC, Changed ligand: CCCCCC1(CCC)C=C(COC)c2c(O)ccn2C1(C)OCNC, New ligand: CCCCCC1(CCC)C=C(COC)c2c(O)ccn2C1(C)OCNC Score: tensor([0.7535])
Step419: ['switch'], Previous ligand: CCCCCC1(CCC)C=C(COC)c2c(O)ccn2C1(C)OCNC, Changed ligand: CCCCCC1(CCC)C=C(COC)c2c(O)ccn2C1(C)ONCNC, New ligand: CCCCCC1(CCC)C=C(COC)c2c(O)ccn2C1(C)ONCNC Score: tensor([0.7243])
Step420: ['change type'], Previous ligand: CCCCCC1(CCC)C=C(COC)c2c(O)ccn2C1(C)ONCNC, Changed ligand: CCCCCC1(CCS)C=C(COC)c2c(O)ccn2C1(C)ONCNC, New ligand: CCCCCC1(CCS)C=C(COC)c2c(O)ccn2C1(C)ONCNC Score: tensor([0.6928])
Step421: ['add'], Previous ligand: CCCCCC1(CCS)C=C(COC)c2c(O)ccn2C1(C)ONCNC, Changed ligand: CCCCCC1(CCS)C=C(COC)c2c(O)ccn2C1(C)ON(C)CNC, New ligand: CCCCCC1(CCS)C=C(COC)c2c(O)ccn2C1(C)ON(C)CNC Score: tensor([0.7062])
Step422: ['turn ring aromatic'], Previous ligand: CCCCCC1(CCS)C=C(COC)c2c(O)ccn2C1(C)ON(C)CNC, Changed ligand: CCCCCC1(CCS)C=C(COC)C2C(O)CCN2C1(C)ON(C)CNC, New ligand: CCCCCC1(CCS)C=C(COC)c2c(O)ccn2C1(C)ON(C)CNC Score: tensor([0.7062])
Step423: ['add'], Previous ligand: CCCCCC1(CCS)C=C(COC)c2c(O)ccn2C1(C)ON(C)CNC, Changed ligand: CCCCCC1(C(CS)CCC)C=C(COC)c2c(O)ccn2C1(C)ON(C)CNC, New ligand: CCCCCC1(CCS)C=C(COC)c2c(O)ccn2C1(C)ON(C)CNC Score: tensor([0.7062])
Step424: ['turn ring aromatic'], Previous ligand: CCCCCC1(CCS)C=C(COC)c2c(O)ccn2C1(C)ON(C)CNC, Changed ligand: CCCCCC1(CCS)C=C(COC)C2C(O)CCN2C1(C)ON(C)CNC, New ligand: CCCCCC1(CCS)C=C(COC)c2c(O)ccn2C1(C)ON(C)CNC Score: tensor([0.7062])
Step425: ['switch'], Previous ligand: CCCCCC1(CCS)C=C(COC)c2c(O)ccn2C1(C)ON(C)CNC, Changed ligand: CCCCCC1(CCS)C=C(COC)c2c(CO)ccn2C1(C)ON(C)CNC, New ligand: CCCCCC1(CCS)C=C(COC)c2c(CO)ccn2C1(C)ON(C)CNC Score: tensor([0.7670])
Step426: ['switch'], Previous ligand: CCCCCC1(CCS)C=C(COC)c2c(CO)ccn2C1(C)ON(C)CNC, Changed ligand: CCCCCC1(CCS)C=C(COC)c2c(CCO)ccn2C1(C)ON(C)CNC, New ligand: CCCCCC1(CCS)C=C(COC)c2c(CCO)ccn2C1(C)ON(C)CNC Score: tensor([0.7604])
Step427: ['switch'], Previous ligand: CCCCCC1(CCS)C=C(COC)c2c(CCO)ccn2C1(C)ON(C)CNC, Changed ligand: CCCCCC1(CCS)C=C(COC)c2c(CCO)ccn2C1(C)ON(CC)CNC, New ligand: CCCCCC1(CCS)C=C(COC)c2c(CCO)ccn2C1(C)ON(CC)CNC Score: tensor([0.7294])
Step428: ['change bond type'], Previous ligand: CCCCCC1(CCS)C=C(COC)c2c(CCO)ccn2C1(C)ON(CC)CNC, Changed ligand: CCCCCC1(CCS)C=C(COC)c2c(CCO)ccn2C1(C)ON(CC)CNC, New ligand: CCCCCC1(CCS)C=C(COC)c2c(CCO)ccn2C1(C)ON(CC)CNC Score: tensor([0.7294])
Step429: ['remove'], Previous ligand: CCCCCC1(CCS)C=C(COC)c2c(CCO)ccn2C1(C)ON(CC)CNC, Changed ligand: CCCCCC1(CCS)C=C(COC)c2c(CCO)ccn2C1(C)N(CC)CNC, New ligand: CCCCCC1(CCS)C=C(COC)c2c(CCO)ccn2C1(C)N(CC)CNC Score: tensor([0.7575])
Step430: ['remove'], Previous ligand: CCCCCC1(CCS)C=C(COC)c2c(CCO)ccn2C1(C)N(CC)CNC, Changed ligand: CCCCCC1(CCS)C(COC)c2c(CCO)ccn2C1(C)N(CC)CNC, New ligand: CCCCCC1(CCS)C(COC)c2c(CCO)ccn2C1(C)N(CC)CNC Score: tensor([0.7478])
Step431: ['switch'], Previous ligand: CCCCCC1(CCS)C(COC)c2c(CCO)ccn2C1(C)N(CC)CNC, Changed ligand: CCCCCC1(CCS)C(COC)c2c(CCOO)ccn2C1(C)N(CC)CNC, New ligand: CCCCCC1(CCS)C(COC)c2c(CCO)ccn2C1(C)N(CC)CNC Score: tensor([0.7478])
Step432: ['add'], Previous ligand: CCCCCC1(CCS)C(COC)c2c(CCO)ccn2C1(C)N(CC)CNC, Changed ligand: C=C(C)CCCC1(CCS)C(COC)c2c(CCO)ccn2C1(C)N(CC)CNC, New ligand: CCCCCC1(CCS)C(COC)c2c(CCO)ccn2C1(C)N(CC)CNC Score: tensor([0.7478])
Step433: ['move_junction'], Previous ligand: CCCCCC1(CCS)C(COC)c2c(CCO)ccn2C1(C)N(CC)CNC, Changed ligand: CCCCCC1(CC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1C, New ligand: CCCCCC1(CC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1C Score: tensor([0.7099])
Step434: ['remove'], Previous ligand: CCCCCC1(CC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1C, Changed ligand: CCCCC1(CC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1C, New ligand: CCCCC1(CC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1C Score: tensor([0.6918])
Step435: ['switch'], Previous ligand: CCCCC1(CC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1C, Changed ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1C, New ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1C Score: tensor([0.7250])
Step436: ['switch'], Previous ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1C, Changed ligand: CCCCC1(NCCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1C, New ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1C Score: tensor([0.7250])
Step437: ['switch'], Previous ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1C, Changed ligand: CCCCC1(CCC(S)N(CC)OCNC)C(COC)c2c(CCO)ccn2C1C, New ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1C Score: tensor([0.7250])
Step438: ['add'], Previous ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1C, Changed ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P, New ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P Score: tensor([0.6740])
Step439: ['switch'], Previous ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P, Changed ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCCO)ccn2C1(C)P, New ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P Score: tensor([0.6740])
Step440: ['change type'], Previous ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P, Changed ligand: CCCCC1(CCC(S)N(CC)CNC)C(NOC)c2c(CCO)ccn2C1(C)P, New ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P Score: tensor([0.6740])
Step441: ['remove ring'], Previous ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P, Changed ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)C(CCCO)N(CC)C1(C)P, New ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P Score: tensor([0.6740])
Step442: ['add'], Previous ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P, Changed ligand: C=[SH]C(CCC1(CCCC)C(COC)c2c(CCO)ccn2C1(C)P)N(CC)CNC, New ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P Score: tensor([0.6740])
Step443: ['change type'], Previous ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P, Changed ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCF)ccn2C1(C)P, New ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P Score: tensor([0.6740])
Step444: ['remove ring'], Previous ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P, Changed ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)C(CCCO)N(CC)C1(C)P, New ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P Score: tensor([0.6740])
Step445: ['change type'], Previous ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P, Changed ligand: CCCCC1(CCC(S)N(CC)COC)C(COC)c2c(CCO)ccn2C1(C)P, New ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P Score: tensor([0.6740])
Step446: ['add'], Previous ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P, Changed ligand: CCCCC1(CC(S)C(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P, New ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P Score: tensor([0.6740])
Step447: ['add'], Previous ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P, Changed ligand: CCCC(CCC)C1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P, New ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P Score: tensor([0.6740])
Step448: ['remove ring'], Previous ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P, Changed ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)C(CCCO)N(CC)C1(C)P, New ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P Score: tensor([0.6740])
Step449: ['switch'], Previous ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P, Changed ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CNCO)ccn2C1(C)P, New ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P Score: tensor([0.6740])
Step450: ['change type'], Previous ligand: CCCCC1(CCC(S)N(CC)CNC)C(COC)c2c(CCO)ccn2C1(C)P, Changed ligand: CCCCC1(CCC(S)N(CC)CNC)C(CCC)c2c(CCO)ccn2C1(C)P, New ligand: CCCCC1(CCC(S)N(CC)CNC)C(CCC)c2c(CCO)ccn2C1(C)P Score: tensor([0.6954])
Step451: ['form new ring'], Previous ligand: CCCCC1(CCC(S)N(CC)CNC)C(CCC)c2c(CCO)ccn2C1(C)P, Changed ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(N(CC)CNC)C(CC)C2, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(N(CC)CNC)C(CC)C2 Score: tensor([0.7005])
Step452: ['move_junction'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(N(CC)CNC)C(CC)C2, Changed ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(NCC)C(CCCNC)C2, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(N(CC)CNC)C(CC)C2 Score: tensor([0.7005])
Step453: ['add'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(N(CC)CNC)C(CC)C2, Changed ligand: C=C(O)Cc1ccn2c1C(CCC)C1(CCC(S)(N(CC)CNC)C(CC)C1)C2(C)P, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(N(CC)CNC)C(CC)C2 Score: tensor([0.7005])
Step454: ['change bond type'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(N(CC)CNC)C(CC)C2, Changed ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(N(CC)CNC)C(CC)C2, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(N(CC)CNC)C(CC)C2 Score: tensor([0.7021])
Step455: ['add'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(N(CC)CNC)C(CC)C2, Changed ligand: C=CCC1CC2(CCC1(S)N(CC)CNC)C(CCC)c1c(CCO)ccn1C2(C)P, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(N(CC)CNC)C(CC)C2 Score: tensor([0.7021])
Step456: ['switch'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(N(CC)CNC)C(CC)C2, Changed ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(N(CC)CNC)C(OCC)C2, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(N(CC)CNC)C(OCC)C2 Score: tensor([0.7127])
Step457: ['remove'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(N(CC)CNC)C(OCC)C2, Changed ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(N(CC)CN)C(OCC)C2, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(N(CC)CNC)C(OCC)C2 Score: tensor([0.7127])
Step458: ['add'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(N(CC)CNC)C(OCC)C2, Changed ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(N(CC)CNC)C(OC(C)=S)C2, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(N(CC)CNC)C(OCC)C2 Score: tensor([0.7127])
Step459: ['remove'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(N(CC)CNC)C(OCC)C2, Changed ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(N(CC)CNC)C2OCC, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(N(CC)CNC)C(OCC)C2 Score: tensor([0.7127])
Step460: ['move_junction'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(N(CC)CNC)C(OCC)C2, Changed ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(CNCNCC)C(OCC)C2, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(CNCNCC)C(OCC)C2 Score: tensor([0.7263])
Step461: ['move_junction'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(CNCNCC)C(OCC)C2, Changed ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(C(S)NCNCC)C(OCC)C2, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(CNCNCC)C(OCC)C2 Score: tensor([0.7263])
Step462: ['form new ring'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(CNCNCC)C(OCC)C2, Changed ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC1(S)C(NCNCC)C1(OCC)C2, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(CNCNCC)C(OCC)C2 Score: tensor([0.7263])
Step463: ['remove'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(CNCNCC)C(OCC)C2, Changed ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(CNCNCC)C(CC)C2, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(CNCNCC)C(OCC)C2 Score: tensor([0.7263])
Step464: ['remove'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(CNCNCC)C(OCC)C2, Changed ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(CNNCC)C(OCC)C2, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(CNCNCC)C(OCC)C2 Score: tensor([0.7263])
Step465: ['add'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(CNCNCC)C(OCC)C2, Changed ligand: CCC=C1C2(C)C(CCO)=CCN2C(C)(P)C12CCC(S)(CNCNCC)C(OCC)C2, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(CNCNCC)C(OCC)C2 Score: tensor([0.7263])
Step466: ['remove ring'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(CNCNCC)C(OCC)C2, Changed ligand: CCCCC1(C(C)(P)n2ccc(CCO)c2)CCC(S)(CNCNCC)C(OCC)C1, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(CNCNCC)C(OCC)C2 Score: tensor([0.7263])
Step467: ['add'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CCC(S)(CNCNCC)C(OCC)C2, Changed ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N Score: tensor([0.7303])
Step468: ['move_junction'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N, Changed ligand: CCCC1(OCC)c2c(CCO)ccn2C(C)(P)C12CCC(S)(CNCNCC)CC2N, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N Score: tensor([0.7303])
Step469: ['remove ring'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N, Changed ligand: CCCC1c2c(CCO)ccn2C(C)(P)C1(CN)CC(OCC)C(C)(S)CNCNCC, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N Score: tensor([0.7303])
Step470: ['switch'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N, Changed ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(CNCNCC)(OS)CC2N, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N Score: tensor([0.7303])
Step471: ['add'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N, Changed ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(S)(OCC)C(S)(CNCNCC)CC2N, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N Score: tensor([0.7303])
Step472: ['change type'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N, Changed ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N Score: tensor([0.7304])
Step473: ['add'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N, Changed ligand: C=C(CC)C1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N Score: tensor([0.7304])
Step474: ['add'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N, Changed ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCN(P)CC)CC2N, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N Score: tensor([0.7304])
Step475: ['add'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N, Changed ligand: CCCC(C)NCNCC1(S)CC(N)C2(CC1OCC)C(CCC)c1c(CCO)ccn1C2(C)P, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N Score: tensor([0.7304])
Step476: ['remove'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N, Changed ligand: CCCC1c2c(CCO)ccn2C(C)C12CC(OCC)C(S)(CNCNCC)CC2N, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N Score: tensor([0.7304])
Step477: ['switch'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N, Changed ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)COC2N, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N Score: tensor([0.7304])
Step478: ['add'], Previous ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N, Changed ligand: CCCC1c2c(CCO)cc(N)n2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N, New ligand: CCCC1c2c(CCO)ccn2C(C)(P)C12CC(OCC)C(S)(CNCNCC)CC2N Score: tensor([0.7304])
